v4_mm	P_N
0.000000000000000000e+00	0.000000000000000000e+00
5.710454788778313029e-02	3.667091807801639192e+01
1.142090957755662606e-01	7.334183615603278383e+01
1.713136436633493909e-01	1.100127542340491686e+02
2.284181915511325212e-01	1.466836723120655677e+02
2.855227394389156514e-01	1.833545903900819667e+02
3.426272873266987817e-01	2.200255084680983373e+02
3.997318352144819675e-01	2.566964265461147647e+02
4.568363831022650423e-01	2.933673446241311353e+02
5.139409309900481171e-01	3.300382627021475059e+02
5.710454788778313029e-01	3.667091807801639334e+02
6.281500267656143777e-01	4.033800988581803040e+02
6.852545746533975635e-01	4.400510169361966746e+02
7.423591225411807493e-01	4.767219350142131020e+02
7.994636704289639351e-01	5.133928530922295295e+02
8.565682183167470098e-01	5.500637711702459001e+02
9.136727662045300846e-01	5.867346892482622707e+02
9.707773140923131594e-01	6.234056073262786413e+02
1.027881861980096234e+00	6.600765254042950119e+02
1.084986409867879642e+00	6.967474434823114962e+02
1.142090957755662606e+00	7.334183615603278668e+02
1.199195505643445792e+00	7.700892796383442374e+02
1.256300053531228755e+00	8.067601977163606080e+02
1.313404601419011941e+00	8.434311157943769786e+02
1.370509149306795127e+00	8.801020338723933492e+02
1.427613697194578313e+00	9.167729519504098334e+02
1.484718245082361499e+00	9.534438700284262040e+02
1.541822792970144462e+00	9.901147881064425746e+02
1.598927340857927870e+00	1.026785706184459059e+03
1.656031888745710612e+00	1.063456624262475316e+03
1.713136436633494020e+00	1.100127542340491800e+03
1.770240984521276983e+00	1.136798460418508057e+03
1.827345532409060169e+00	1.173469378496524541e+03
1.884450080296843355e+00	1.210140296574541026e+03
1.941554628184626319e+00	1.246811214652557283e+03
1.998659176072409727e+00	1.283482132730573767e+03
2.055763723960192468e+00	1.320153050808590024e+03
2.112868271847975876e+00	1.356823968886606508e+03
2.169972819735759284e+00	1.393494886964622992e+03
2.227077367623541804e+00	1.430165805042639249e+03
2.284181915511325212e+00	1.466836723120655734e+03
2.341286463399108175e+00	1.503507641198671990e+03
2.398391011286891583e+00	1.540178559276688475e+03
2.455495559174674547e+00	1.576849477354704959e+03
2.512600107062457511e+00	1.613520395432721216e+03
2.569704654950240919e+00	1.650191313510737700e+03
2.626809202838023882e+00	1.686862231588753957e+03
2.683913750725807290e+00	1.723533149666770441e+03
2.741018298613590254e+00	1.760204067744786698e+03
2.798122846501373218e+00	1.796874985822803183e+03
2.855227394389156625e+00	1.833545903900819667e+03
2.912331942276939589e+00	1.870216821978835924e+03
2.969436490164722997e+00	1.906887740056852408e+03
3.026541038052505517e+00	1.943558658134868665e+03
3.083645585940288925e+00	1.980229576212885149e+03
3.140750133828072332e+00	2.016900494290901634e+03
3.197854681715855740e+00	2.053571412368918118e+03
3.254959229603638260e+00	2.090242330446934375e+03
3.312063777491421224e+00	2.126913248524950632e+03
3.369168325379205076e+00	2.163584166602967343e+03
3.426272873266988039e+00	2.200255084680983600e+03
3.483377421154771003e+00	2.236926002758999857e+03
3.540481969042553967e+00	2.273596920837016114e+03
3.597586516930337375e+00	2.310267838915032826e+03
3.654691064818120338e+00	2.346938756993049083e+03
3.711795612705903302e+00	2.383609675071065340e+03
3.768900160593686710e+00	2.420280593149082051e+03
3.826004708481469674e+00	2.456951511227098308e+03
3.883109256369252638e+00	2.493622429305114565e+03
3.940213804257035601e+00	2.530293347383130822e+03
3.997318352144819453e+00	2.566964265461147534e+03
4.054422900032601973e+00	2.603635183539163791e+03
4.111527447920384937e+00	2.640306101617180047e+03
4.168631995808168789e+00	2.676977019695196759e+03
4.225736543695951752e+00	2.713647937773213016e+03
4.282841091583734716e+00	2.750318855851229273e+03
4.339945639471518568e+00	2.786989773929245985e+03
4.397050187359301532e+00	2.823660692007262242e+03
4.454154735247083607e+00	2.860331610085278498e+03
4.511259283134866571e+00	2.897002528163294755e+03
4.568363831022650423e+00	2.933673446241311467e+03
4.625468378910433387e+00	2.970344364319327724e+03
4.682572926798216351e+00	3.007015282397343981e+03
4.739677474686000203e+00	3.043686200475360693e+03
4.796782022573783166e+00	3.080357118553376949e+03
4.853886570461566130e+00	3.117028036631393206e+03
4.910991118349349094e+00	3.153698954709409918e+03
4.968095666237132058e+00	3.190369872787426175e+03
5.025200214124915021e+00	3.227040790865442432e+03
5.082304762012697985e+00	3.263711708943458689e+03
5.139409309900481837e+00	3.300382627021475400e+03
5.196513857788264801e+00	3.337053545099491657e+03
5.253618405676047765e+00	3.373724463177507914e+03
5.310722953563831616e+00	3.410395381255524626e+03
5.367827501451614580e+00	3.447066299333540883e+03
5.424932049339397544e+00	3.483737217411557140e+03
5.482036597227180508e+00	3.520408135489573397e+03
5.539141145114963471e+00	3.557079053567590108e+03
5.596245693002746435e+00	3.593749971645606365e+03
5.653350240890530287e+00	3.630420889723623077e+03
