absv4_mm	P_kN
-0.000000000000000000e+00	0.000000000000000000e+00
1.650629614411513568e+00	1.059987437185929249e+00
3.301259228823027136e+00	2.119974874371858498e+00
4.951888843234541149e+00	3.179962311557787302e+00
6.602518457646054273e+00	4.239949748743716995e+00
8.253148072057570062e+00	5.299937185929645800e+00
9.903777686469082298e+00	6.359924623115574605e+00
1.155440730088059631e+01	7.419912060301504297e+00
1.320503691529210855e+01	8.479899497487433990e+00
1.485566652970362256e+01	9.539886934673361907e+00
1.650629614411514012e+01	1.059987437185929160e+01
1.815692575852665058e+01	1.165986180904522129e+01
1.980755537293816460e+01	1.271984924623114921e+01
2.145818498734967505e+01	1.377983668341708068e+01
2.310881460176119262e+01	1.483982412060300859e+01
2.475944421617270308e+01	1.589981155778894006e+01
2.641007383058421709e+01	1.695979899497486798e+01
2.806070344499572755e+01	1.801978643216079590e+01
2.971133305940724512e+01	1.907977386934672381e+01
3.136196267381875558e+01	2.013976130653265528e+01
3.301259228823028025e+01	2.119974874371858320e+01
3.466322190264178715e+01	2.225973618090451467e+01
3.631385151705330117e+01	2.331972361809044259e+01
3.796448113146482228e+01	2.437971105527637405e+01
3.961511074587632919e+01	2.543969849246229842e+01
4.126574036028783610e+01	2.649968592964822989e+01
4.291636997469935011e+01	2.755967336683416136e+01
4.456699958911087123e+01	2.861966080402008927e+01
4.621762920352238524e+01	2.967964824120601719e+01
4.786825881793389925e+01	3.073963567839194866e+01
4.951888843234540616e+01	3.179962311557788013e+01
5.116951804675692017e+01	3.285961055276380449e+01
5.282014766116843418e+01	3.391959798994973596e+01
5.447077727557995530e+01	3.497958542713566743e+01
5.612140688999145510e+01	3.603957286432159179e+01
5.777203650440297622e+01	3.709956030150752326e+01
5.942266611881449023e+01	3.815954773869344763e+01
6.107329573322600424e+01	3.921953517587938620e+01
6.272392534763751115e+01	4.027952261306531057e+01
6.437455496204901806e+01	4.133951005025124203e+01
6.602518457646056049e+01	4.239949748743716640e+01
6.767581419087207451e+01	4.345948492462309787e+01
6.932644380528357431e+01	4.451947236180902934e+01
7.097707341969508832e+01	4.557945979899495370e+01
7.262770303410660233e+01	4.663944723618088517e+01
7.427833264851811634e+01	4.769943467336681664e+01
7.592896226292964457e+01	4.875942211055274811e+01
7.757959187734114437e+01	4.981940954773867247e+01
7.923022149175265838e+01	5.087939698492459684e+01
8.088085110616417239e+01	5.193938442211053541e+01
8.253148072057567219e+01	5.299937185929645977e+01
8.418211033498718621e+01	5.405935929648239124e+01
8.583273994939870022e+01	5.511934673366832271e+01
8.748336956381021423e+01	5.617933417085423997e+01
8.913399917822174245e+01	5.723932160804017855e+01
9.078462879263325647e+01	5.829930904522611002e+01
9.243525840704477048e+01	5.935929648241203438e+01
9.408588802145628449e+01	6.041928391959796585e+01
9.573651763586779850e+01	6.147927135678389732e+01
9.738714725027929831e+01	6.253925879396982879e+01
9.903777686469081232e+01	6.359924623115576026e+01
1.006884064791023263e+02	6.465923366834168462e+01
1.023390360935138403e+02	6.571922110552760898e+01
1.039896657079253259e+02	6.677920854271353335e+01
1.056402953223368684e+02	6.783919597989947192e+01
1.072909249367483682e+02	6.889918341708539629e+01
1.089415545511599106e+02	6.995917085427133486e+01
1.105921841655714246e+02	7.101915829145725922e+01
1.122428137799829102e+02	7.207914572864318359e+01
1.138934433943944384e+02	7.313913316582912216e+01
1.155440730088059524e+02	7.419912060301504653e+01
1.171947026232174665e+02	7.525910804020097089e+01
1.188453322376289805e+02	7.631909547738689525e+01
1.204959618520405087e+02	7.737908291457283383e+01
1.221465914664520085e+02	7.843907035175877240e+01
1.237972210808635083e+02	7.949905778894469677e+01
1.254478506952750223e+02	8.055904522613062113e+01
1.270984803096865363e+02	8.161903266331655971e+01
1.287491099240980361e+02	8.267902010050248407e+01
1.303997395385095501e+02	8.373900753768840843e+01
1.320503691529211210e+02	8.479899497487433280e+01
1.337009987673326066e+02	8.585898241206025716e+01
1.353516283817441490e+02	8.691896984924619574e+01
1.370022579961556062e+02	8.797895728643212010e+01
1.386528876105671486e+02	8.903894472361805867e+01
1.403035172249786626e+02	9.009893216080398304e+01
1.419541468393901766e+02	9.115891959798990740e+01
1.436047764538016906e+02	9.221890703517584598e+01
1.452554060682132047e+02	9.327889447236177034e+01
1.469060356826247187e+02	9.433888190954769470e+01
1.485566652970362327e+02	9.539886934673363328e+01
1.502072949114477467e+02	9.645885678391955764e+01
1.518579245258592891e+02	9.751884422110549622e+01
1.535085541402707747e+02	9.857883165829142058e+01
1.551591837546822887e+02	9.963881909547734494e+01
1.568098133690938027e+02	1.006988065326632835e+02
1.584604429835053168e+02	1.017587939698491937e+02
1.601110725979168024e+02	1.028187814070351322e+02
1.617617022123283448e+02	1.038787688442210708e+02
1.634123318267398304e+02	1.049387562814069810e+02
1.634123318267398304e+02	1.049387562814069952e+02
1.617617022123283448e+02	1.038787688442210708e+02
1.601110725979168024e+02	1.028187814070351322e+02
1.584604429835053168e+02	1.017587939698491937e+02
1.568098133690937459e+02	1.006988065326632693e+02
1.551591837546822887e+02	9.963881909547735916e+01
1.535085541402707747e+02	9.857883165829142058e+01
1.518579245258592891e+02	9.751884422110549622e+01
1.502072949114477467e+02	9.645885678391955764e+01
1.485566652970362327e+02	9.539886934673363328e+01
1.469060356826247187e+02	9.433888190954769470e+01
1.452554060682132047e+02	9.327889447236177034e+01
1.436047764538016906e+02	9.221890703517584598e+01
1.419541468393901766e+02	9.115891959798990740e+01
1.403035172249786342e+02	9.009893216080396883e+01
1.386528876105671486e+02	8.903894472361804446e+01
1.370022579961556062e+02	8.797895728643212010e+01
1.353516283817441490e+02	8.691896984924619574e+01
1.337009987673326066e+02	8.585898241206025716e+01
1.320503691529210641e+02	8.479899497487431859e+01
1.303997395385095501e+02	8.373900753768839422e+01
1.287491099240980361e+02	8.267902010050248407e+01
1.270984803096865363e+02	8.161903266331655971e+01
1.254478506952750223e+02	8.055904522613062113e+01
1.237972210808635083e+02	7.949905778894468256e+01
1.221465914664519801e+02	7.843907035175875819e+01
1.204959618520405087e+02	7.737908291457283383e+01
1.188453322376289805e+02	7.631909547738689525e+01
1.171947026232174665e+02	7.525910804020097089e+01
1.155440730088059382e+02	7.419912060301503232e+01
1.138934433943943958e+02	7.313913316582910795e+01
1.122428137799829244e+02	7.207914572864319780e+01
1.105921841655714246e+02	7.101915829145725922e+01
1.089415545511599106e+02	6.995917085427133486e+01
1.072909249367483682e+02	6.889918341708539629e+01
1.056402953223368684e+02	6.783919597989947192e+01
1.039896657079253686e+02	6.677920854271354756e+01
1.023390360935138403e+02	6.571922110552760898e+01
1.006884064791023263e+02	6.465923366834168462e+01
9.903777686469079811e+01	6.359924623115574605e+01
9.738714725027928409e+01	6.253925879396981458e+01
9.573651763586781271e+01	6.147927135678390442e+01
9.408588802145628449e+01	6.041928391959796585e+01
9.243525840704477048e+01	5.935929648241203438e+01
9.078462879263322804e+01	5.829930904522610291e+01
8.913399917822172824e+01	5.723932160804017144e+01
8.748336956381024265e+01	5.617933417085425418e+01
8.583273994939870022e+01	5.511934673366832271e+01
8.418211033498718621e+01	5.405935929648239124e+01
8.253148072057567219e+01	5.299937185929645977e+01
8.088085110616415818e+01	5.193938442211052120e+01
7.923022149175262996e+01	5.087939698492458973e+01
7.757959187734114437e+01	4.981940954773867958e+01
7.592896226292964457e+01	4.875942211055274811e+01
7.427833264851811634e+01	4.769943467336681664e+01
7.262770303410657391e+01	4.663944723618087096e+01
7.097707341969505990e+01	4.557945979899493949e+01
6.932644380528357431e+01	4.451947236180903644e+01
6.767581419087207451e+01	4.345948492462309787e+01
6.602518457646053207e+01	4.239949748743715929e+01
6.437455496204900385e+01	4.133951005025122782e+01
6.272392534763748984e+01	4.027952261306529635e+01
6.107329573322600424e+01	3.921953517587938620e+01
5.942266611881449023e+01	3.815954773869344763e+01
5.777203650440296911e+01	3.709956030150751616e+01
5.612140688999144089e+01	3.603957286432158469e+01
5.447077727557991977e+01	3.497958542713565322e+01
5.282014766116844129e+01	3.391959798994974307e+01
5.116951804675692017e+01	3.285961055276380449e+01
4.951888843234539905e+01	3.179962311557787302e+01
4.786825881793387794e+01	3.073963567839194155e+01
4.621762920352234971e+01	2.967964824120600653e+01
4.456699958911087833e+01	2.861966080402009638e+01
4.291636997469935011e+01	2.755967336683416136e+01
4.126574036028783610e+01	2.649968592964822989e+01
3.961511074587631498e+01	2.543969849246229487e+01
3.796448113146479386e+01	2.437971105527635984e+01
3.631385151705331538e+01	2.331972361809044969e+01
3.466322190264178715e+01	2.225973618090451822e+01
3.301259228823026604e+01	2.119974874371857965e+01
3.136196267381874492e+01	2.013976130653264818e+01
2.971133305940722735e+01	1.907977386934671316e+01
2.806070344499573821e+01	1.801978643216080300e+01
2.641007383058422064e+01	1.695979899497487153e+01
2.475944421617269953e+01	1.589981155778893651e+01
2.310881460176117486e+01	1.483982412060300327e+01
2.145818498734965729e+01	1.377983668341706824e+01
1.980755537293817525e+01	1.271984924623115809e+01
1.815692575852665769e+01	1.165986180904522485e+01
1.650629614411513302e+01	1.059987437185928982e+01
1.485566652970361368e+01	9.539886934673356578e+00
1.320503691529209256e+01	8.479899497487423332e+00
1.155440730088060874e+01	7.419912060301513179e+00
9.903777686469087627e+00	6.359924623115579045e+00
8.253148072057566509e+00	5.299937185929644912e+00
6.602518457646046279e+00	4.239949748743711666e+00
4.951888843234525162e+00	3.179962311557777976e+00
3.301259228823005376e+00	2.119974874371844287e+00
1.650629614411520452e+00	1.059987437185933690e+00
-0.000000000000000000e+00	0.000000000000000000e+00
