v4_mm	P_N	P_kN
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.665805475660447454e-01	5.564934045226128774e+02	5.564934045226128667e-01
1.733161095132089491e+00	1.112986809045225755e+03	1.112986809045225733e+00
2.599741642698134569e+00	1.669480213567838746e+03	1.669480213567838822e+00
3.466322190264178982e+00	2.225973618090451509e+03	2.225973618090451467e+00
4.332902737830223394e+00	2.782467022613064273e+03	2.782467022613064334e+00
5.199483285396269139e+00	3.338960427135677492e+03	3.338960427135677644e+00
6.066063832962313995e+00	3.895453831658290255e+03	3.895453831658290067e+00
6.932644380528357964e+00	4.451947236180903019e+03	4.451947236180902934e+00
7.799224928094402820e+00	5.008440640703515783e+03	5.008440640703515356e+00
8.665805475660446788e+00	5.564934045226128546e+03	5.564934045226128667e+00
9.532386023226491645e+00	6.121427449748741310e+03	6.121427449748741090e+00
1.039896657079253828e+01	6.677920854271354983e+03	6.677920854271355289e+00
1.126554711835858313e+01	7.234414258793967747e+03	7.234414258793967711e+00
1.213212766592462799e+01	7.790907663316580511e+03	7.790907663316580134e+00
1.299870821349067285e+01	8.347401067839193274e+03	8.347401067839193445e+00
1.386528876105671593e+01	8.903894472361806038e+03	8.903894472361805867e+00
1.473186930862276078e+01	9.460387876884418802e+03	9.460387876884418290e+00
1.559844985618880564e+01	1.001688128140703157e+04	1.001688128140703071e+01
1.646503040375485227e+01	1.057337468592964433e+04	1.057337468592964491e+01
1.733161095132089358e+01	1.112986809045225709e+04	1.112986809045225733e+01
1.819819149888693843e+01	1.168636149497486986e+04	1.168636149497486976e+01
1.906477204645298329e+01	1.224285489949748262e+04	1.224285489949748218e+01
1.993135259401902815e+01	1.279934830402009538e+04	1.279934830402009460e+01
2.079793314158507656e+01	1.335584170854270997e+04	1.335584170854271058e+01
2.166451368915112141e+01	1.391233511306532273e+04	1.391233511306532300e+01
2.253109423671716627e+01	1.446882851758793549e+04	1.446882851758793542e+01
2.339767478428321112e+01	1.502532192211054826e+04	1.502532192211054785e+01
2.426425533184925598e+01	1.558181532663316102e+04	1.558181532663316027e+01
2.513083587941530084e+01	1.613830873115577378e+04	1.613830873115577447e+01
2.599741642698134569e+01	1.669480213567838655e+04	1.669480213567838689e+01
2.686399697454738700e+01	1.725129554020099749e+04	1.725129554020099576e+01
2.773057752211343185e+01	1.780778894472361208e+04	1.780778894472361173e+01
2.859715806967948026e+01	1.836428234924622666e+04	1.836428234924622771e+01
2.946373861724552157e+01	1.892077575376883760e+04	1.892077575376883658e+01
3.033031916481156998e+01	1.947726915829145219e+04	1.947726915829145256e+01
3.119689971237761128e+01	2.003376256281406313e+04	2.003376256281406143e+01
3.206348025994365969e+01	2.059025596733667771e+04	2.059025596733667740e+01
3.293006080750970455e+01	2.114674937185928866e+04	2.114674937185928982e+01
3.379664135507574940e+01	2.170324277638190324e+04	2.170324277638190225e+01
3.466322190264178715e+01	2.225973618090451419e+04	2.225973618090451467e+01
3.552980245020783912e+01	2.281622958542712877e+04	2.281622958542712709e+01
3.639638299777387687e+01	2.337272298994973971e+04	2.337272298994973951e+01
3.726296354533992883e+01	2.392921639447235430e+04	2.392921639447235549e+01
3.812954409290596658e+01	2.448570979899496524e+04	2.448570979899496436e+01
3.899612464047201854e+01	2.504220320351757982e+04	2.504220320351758033e+01
3.986270518803805629e+01	2.559869660804019077e+04	2.559869660804018920e+01
4.072928573560410825e+01	2.615519001256280535e+04	2.615519001256280518e+01
4.159586628317015311e+01	2.671168341708541993e+04	2.671168341708542115e+01
4.246244683073619797e+01	2.726817682160803088e+04	2.726817682160803002e+01
4.332902737830224282e+01	2.782467022613064546e+04	2.782467022613064600e+01
4.419560792586828768e+01	2.838116363065325640e+04	2.838116363065325487e+01
4.506218847343433254e+01	2.893765703517587099e+04	2.893765703517587085e+01
4.592876902100037029e+01	2.949415043969848193e+04	2.949415043969848327e+01
4.679534956856642225e+01	3.005064384422109651e+04	3.005064384422109569e+01
4.766193011613246000e+01	3.060713724874370746e+04	3.060713724874370811e+01
4.852851066369851196e+01	3.116363065326632204e+04	3.116363065326632054e+01
4.939509121126454971e+01	3.172012405778893299e+04	3.172012405778893296e+01
5.026167175883060168e+01	3.227661746231154757e+04	3.227661746231154893e+01
5.112825230639664653e+01	3.283311086683416215e+04	3.283311086683416136e+01
5.199483285396269139e+01	3.338960427135677310e+04	3.338960427135677378e+01
5.286141340152872914e+01	3.394609767587938404e+04	3.394609767587938620e+01
5.372799394909477400e+01	3.450259108040199499e+04	3.450259108040199152e+01
5.459457449666082596e+01	3.505908448492461321e+04	3.505908448492461105e+01
5.546115504422686371e+01	3.561557788944722415e+04	3.561557788944722347e+01
5.632773559179290856e+01	3.617207129396983510e+04	3.617207129396983589e+01
5.719431613935896053e+01	3.672856469849245332e+04	3.672856469849245542e+01
