t	P_kN	v4_mm	sigma1	sigma2	sigma3	sigma4
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.005025125628140718e-02	1.059987437185929249e+00	-1.650629614411513568e+00	2.943561435643210711e+00	-3.015075376884422287e+00	-2.801394864444438415e+00	2.029584726306971731e+00
2.010050251256281437e-02	2.119974874371858498e+00	-3.301259228823027136e+00	5.887122871286421422e+00	-6.030150753768844574e+00	-5.602789728888876830e+00	4.059169452613943463e+00
3.015075376884421982e-02	3.179962311557787302e+00	-4.951888843234541149e+00	8.830684306929635241e+00	-9.045226130653263752e+00	-8.404184593333317466e+00	6.088754178920919635e+00
4.020100502512562873e-02	4.239949748743716995e+00	-6.602518457646054273e+00	1.177424574257284284e+01	-1.206030150753768915e+01	-1.120557945777775366e+01	8.118338905227886926e+00
5.025125628140703765e-02	5.299937185929645800e+00	-8.253148072057570062e+00	1.471780717821605755e+01	-1.507537688442211277e+01	-1.400697432222220051e+01	1.014792363153485866e+01
6.030150753768843963e-02	6.359924623115574605e+00	-9.903777686469082298e+00	1.766136861385927048e+01	-1.809045226130652750e+01	-1.680836918666663493e+01	1.217750835784183927e+01
7.035175879396984855e-02	7.419912060301504297e+00	-1.155440730088059631e+01	2.060493004950247808e+01	-2.110552763819095645e+01	-1.960976405111107113e+01	1.420709308414881278e+01
8.040201005025125747e-02	8.479899497487433990e+00	-1.320503691529210855e+01	2.354849148514568569e+01	-2.412060301507537829e+01	-2.241115891555550732e+01	1.623667781045577385e+01
9.045226130653266639e-02	9.539886934673361907e+00	-1.485566652970362256e+01	2.649205292078889684e+01	-2.713567839195979303e+01	-2.521255377999995417e+01	1.826626253676276690e+01
1.005025125628140753e-01	1.059987437185929160e+01	-1.650629614411514012e+01	2.943561435643211510e+01	-3.015075376884422553e+01	-2.801394864444440103e+01	2.029584726306971731e+01
1.105527638190954842e-01	1.165986180904522129e+01	-1.815692575852665058e+01	3.237917579207532270e+01	-3.316582914572864382e+01	-3.081534350888883012e+01	2.232543198937668905e+01
1.206030150753768793e-01	1.271984924623114921e+01	-1.980755537293816460e+01	3.532273722771854096e+01	-3.618090452261305501e+01	-3.361673837333326986e+01	2.435501671568367854e+01
1.306532663316583021e-01	1.377983668341708068e+01	-2.145818498734967505e+01	3.826629866336173080e+01	-3.919597989949749461e+01	-3.641813323777771672e+01	2.638460144199062896e+01
1.407035175879396971e-01	1.483982412060300859e+01	-2.310881460176119262e+01	4.120986009900495617e+01	-4.221105527638191290e+01	-3.921952810222214225e+01	2.841418616829762556e+01
1.507537688442211199e-01	1.589981155778894006e+01	-2.475944421617270308e+01	4.415342153464816732e+01	-4.522613065326633119e+01	-4.202092296666660332e+01	3.044377089460456887e+01
1.608040201005025149e-01	1.695979899497486798e+01	-2.641007383058421709e+01	4.709698297029137137e+01	-4.824120603015075659e+01	-4.482231783111101464e+01	3.247335562091154770e+01
1.708542713567839100e-01	1.801978643216079590e+01	-2.806070344499572755e+01	5.004054440593458253e+01	-5.125628140703518199e+01	-4.762371269555545439e+01	3.450294034721852654e+01
1.809045226130653328e-01	1.907977386934672381e+01	-2.971133305940724512e+01	5.298410584157779368e+01	-5.427135678391958606e+01	-5.042510755999990835e+01	3.653252507352553380e+01
1.909547738693467278e-01	2.013976130653265528e+01	-3.136196267381875558e+01	5.592766727722099773e+01	-5.728643216080401146e+01	-5.322650242444436230e+01	3.856210979983245579e+01
2.010050251256281506e-01	2.119974874371858320e+01	-3.301259228823028025e+01	5.887122871286423020e+01	-6.030150753768845107e+01	-5.602789728888880205e+01	4.059169452613943463e+01
2.110552763819095456e-01	2.225973618090451467e+01	-3.466322190264178715e+01	6.181479014850744136e+01	-6.331658291457286936e+01	-5.882929215333322759e+01	4.262127925244644189e+01
