x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.002004	0.004008	0.000004	0.000015	0.000035	0.000051	0.000062	0.000166	0.000316	0.000319	0.000332	0.000328
0.004008	0.008016	0.000015	0.000060	0.000138	0.000203	0.000247	0.000654	0.001220	0.001233	0.001281	0.001263
0.006012	0.012024	0.000034	0.000135	0.000311	0.000454	0.000553	0.001446	0.002650	0.002684	0.002779	0.002738
0.008016	0.016032	0.000060	0.000240	0.000550	0.000804	0.000977	0.002526	0.004548	0.004618	0.004767	0.004691
0.010020	0.020040	0.000094	0.000374	0.000857	0.001250	0.001518	0.003877	0.006861	0.006981	0.007186	0.007066
0.012024	0.024048	0.000136	0.000538	0.001231	0.001792	0.002172	0.005485	0.009541	0.009725	0.009985	0.009811
0.014028	0.028056	0.000184	0.000731	0.001670	0.002428	0.002939	0.007336	0.012543	0.012807	0.013115	0.012878
0.016032	0.032064	0.000241	0.000954	0.002174	0.003156	0.003815	0.009414	0.015826	0.016184	0.016533	0.016224
0.018036	0.036072	0.000305	0.001205	0.002743	0.003976	0.004799	0.011707	0.019352	0.019818	0.020198	0.019810
0.020040	0.040080	0.000377	0.001486	0.003376	0.004885	0.005889	0.014201	0.023088	0.023673	0.024074	0.023602
0.022044	0.044088	0.000456	0.001796	0.004072	0.005884	0.007082	0.016884	0.027002	0.027717	0.028127	0.027566
0.024048	0.048096	0.000542	0.002134	0.004830	0.006969	0.008376	0.019744	0.031066	0.031919	0.032328	0.031675
0.026052	0.052104	0.000636	0.002501	0.005651	0.008140	0.009771	0.022769	0.035255	0.036251	0.036648	0.035901
0.028056	0.056112	0.000738	0.002897	0.006533	0.009396	0.011263	0.025949	0.039546	0.040690	0.041063	0.040223
0.030060	0.060120	0.000847	0.003321	0.007476	0.010735	0.012850	0.029273	0.043919	0.045211	0.045552	0.044620
0.032064	0.064128	0.000964	0.003773	0.008479	0.012156	0.014531	0.032730	0.048354	0.049795	0.050095	0.049072
0.034068	0.068136	0.001088	0.004254	0.009542	0.013659	0.016304	0.036312	0.052836	0.054422	0.054673	0.053565
0.036072	0.072144	0.001220	0.004762	0.010664	0.015240	0.018167	0.040008	0.057350	0.059077	0.059273	0.058083
0.038076	0.076152	0.001359	0.005299	0.011844	0.016900	0.020118	0.043810	0.061883	0.063744	0.063880	0.062615
0.040080	0.080160	0.001506	0.005863	0.013081	0.018637	0.022155	0.047710	0.066423	0.068411	0.068483	0.067150
