n	asm_s	solve_s	cond_K	resid	u_tip	u_tip_err	u_L2	sigma_L2
1	6.400000e-06	4.370000e-05	1.000000e+00	0.000000e+00	9.375000e-01	3.750000e+01	6.022535e-01	1.152960e+00
2	1.900000e-06	7.400000e-06	6.343609e+01	2.640711e-16	1.250000e+00	1.666667e+01	2.644922e-01	7.913606e-01
3	1.400000e-06	9.400000e-06	2.565088e+03	1.262875e-15	1.386719e+00	7.552083e+00	1.164580e-01	4.915112e-01
4	8.000000e-07	2.300000e-06	9.115987e+04	6.342294e-15	1.427500e+00	4.833333e+00	7.420020e-02	4.093565e-01
5	8.000000e-07	2.200000e-06	3.086595e+06	1.507731e-14	1.440104e+00	3.993056e+00	6.183081e-02	3.931639e-01
7	7.000000e-07	2.100000e-06	3.379089e+09	7.267449e-13	1.470886e+00	1.940918e+00	2.968219e-02	2.719923e-01
10	1.500000e-06	4.100000e-06	1.198713e+14	7.702557e-11	1.482454e+00	1.169760e+00	1.814553e-02	2.311418e-01
15	1.600000e-06	3.029690e-02	2.863394e+17	1.198823e-09	1.487257e+00	8.495608e-01	1.297499e-02	1.916213e-01
20	1.270000e-05	4.520000e-05	3.716423e+17	7.451213e-09	1.488691e+00	7.539202e-01	1.184713e-02	2.071547e-01
25	3.700000e-06	2.200000e-05	1.007211e+18	6.570539e-09	1.494143e+00	3.904415e-01	8.226601e-03	2.665992e-01
30	4.900000e-06	3.890000e-05	3.699332e+18	2.339880e-09	1.488799e+00	7.467558e-01	1.153086e-02	1.911096e-01
40	1.070000e-05	5.490000e-05	6.347257e+18	1.516922e-09	1.485982e+00	9.345528e-01	1.423071e-02	1.961792e-01
50	1.380000e-05	3.930000e-05	4.985116e+18	7.602466e-09	1.488168e+00	7.887925e-01	1.206731e-02	1.904154e-01
75	9.500000e-06	6.790000e-05	1.077332e+19	1.026765e-08	1.487579e+00	8.280851e-01	1.260745e-02	1.856364e-01
100	3.610000e-05	1.449000e-04	2.072194e+19	3.814146e-09	1.487167e+00	8.555176e-01	1.300921e-02	1.856058e-01
150	1.164000e-04	7.043000e-04	2.245715e+19	1.263782e-07	1.490102e+00	6.598576e-01	1.135250e-02	3.722194e-01
200	1.753000e-04	2.106900e-03	9.076838e+19	6.238290e-09	1.486190e+00	9.206694e-01	1.403590e-02	1.986539e-01
300	3.440000e-04	2.268480e-02	6.773699e+19	2.546027e-08	1.489532e+00	6.978389e-01	1.069097e-02	1.800451e-01
500	7.270000e-04	3.875000e-03	5.978035e+20	1.559773e-07	1.517060e+00	1.137342e+00	2.228255e-02	5.924716e-01
750	1.732700e-03	2.254810e-02	6.788909e+21	9.038051e-09	1.486295e+00	9.136974e-01	NaN	NaN
1000	2.790800e-03	3.363470e-02	2.969913e+21	2.213662e-08	1.485196e+00	9.869021e-01	NaN	NaN
1500	6.891600e-03	9.024930e-02	4.260532e+22	2.336980e-08	1.485928e+00	9.381146e-01	NaN	NaN
2000	3.913670e-02	1.505054e-01	7.677247e+21	3.918198e-08	1.486200e+00	9.200290e-01	NaN	NaN
3000	1.828062e-01	2.387194e-01	NaN	7.699629e-08	1.486091e+00	9.272849e-01	NaN	NaN
5000	1.193685e-01	5.641436e-01	NaN	3.145583e-08	1.485696e+00	9.535736e-01	NaN	NaN
7500	4.927476e-01	1.804997e+00	NaN	1.949135e-07	1.479588e+00	1.360796e+00	NaN	NaN
10000	6.381347e-01	4.131013e+00	NaN	2.884225e-08	1.486633e+00	8.911622e-01	NaN	NaN
